Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
445491,"$12,000","$12,000",13.57%,1.00%,"October 9, 2009","October 7, 2012","October 7, 2013",$0,MORTGAGE,"$14,167 / month",5.51%, 1 month,"Washington, DC",__,__,__,N/a,__,679-713,0,02/1987,$0.00,3,0,17,41,"$31,895.00",0,66.60%,n/a,3
445499,"$8,000","$8,000",13.22%,1.00%,"October 13, 2009","October 16, 2012","October 16, 2013",$0,RENT,"$2,500 / month",11.76%, 2 years 5 months,"CORONA, NY",__,__,__,N/a,__,679-713,0,11/2003,$0.00,7,0,8,n/a,"$9,036.00",0,82.90%,n/a,0
445570,"$7,500","$7,500",14.61%,1.00%,"October 7, 2009","October 7, 2012","October 7, 2013",$0,MORTGAGE,"$7,836 / month",23.88%,10+ years ,"poulsbo, WA",__,__,__,N/a,__,660-678,0,10/1979,$0.00,15,0,32,27,"$56,418.00",0,79.20%,n/a,4
445765,"$7,500","$7,500",15.31%,1.00%,"October 8, 2009","October 8, 2012","October 8, 2013",$0,RENT,"$3,083 / month",21.15%,1 year ,"victoria, TX",__,__,__,N/a,__,660-678,0,10/2001,$0.00,6,0,16,n/a,$722.00,0,60.20%,n/a,2
445808,"$20,500","$20,500",14.61%,1.00%,"October 13, 2009","October 9, 2012","October 9, 2013",$0,RENT,"$5,000 / month",23.86%,n/a,"Massapequa, NY",__,__,__,N/a,__,679-713,0,08/1987,$0.00,7,3,14,18,"$4,503.00",0,35.70%,n/a,1
445838,"$25,000","$25,000",15.65%,1.00%,"October 8, 2009","October 8, 2012","October 8, 2013",$0,RENT,"$8,333 / month",14.02%, 2 years 6 months,"ARLINGTON, VA",__,__,__,N/a,__,679-713,0,03/1997,$0.00,15,0,33,72,"$24,594.00",0,64.30%,n/a,0
445877,"$8,000","$8,000",16.00%,1.00%,"October 7, 2009","October 9, 2012","October 9, 2013",$0,n/a,"$5,000 / month",6.78%, 8 years 10 months,"Pleasanton, CA",__,__,__,N/a,__,660-678,0,07/1998,$0.00,3,1,21,6,$0.00,0,0.00%,n/a,2
445890,"$25,000","$25,000",12.87%,1.00%,"October 8, 2009","October 8, 2012","October 8, 2013",$0,MORTGAGE,"$5,000 / month",13.18%, 10+ years 1 month,"McAllen, TX",__,__,__,N/a,__,714-749,0,02/1994,$0.00,6,0,33,n/a,"$7,262.00",0,42.70%,n/a,5
445902,"$1,800","$1,800",12.53%,1.00%,"October 7, 2009","October 8, 2012","October 8, 2013",$0,RENT,"$2,333 / month",15.21%,n/a,"Walnut Creek, CA",__,__,__,N/a,__,679-713,0,05/2002,$0.00,12,0,19,32,"$4,293.00",0,66.00%,n/a,2
445914,"$6,500","$6,500",11.14%,1.00%,"October 8, 2009","October 17, 2012","October 17, 2013",$0,MORTGAGE,"$5,708 / month",3.43%,n/a,"Sacramento, CA",__,__,__,N/a,__,714-749,0,06/1988,$0.00,10,0,18,n/a,"$9,846.00",0,59.70%,n/a,1
