Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
38802430,"$13,925","$13,925",16.49%,1.00%,"January 23, 2015","February 2, 2020","February 2, 2020",$0,RENT,"$2,917 / month",28.36%,1 year ,989xx,N/a,N/a,N/a,truckdr,N/a,680-684,0,01/2004,$0.00,7,0,14,n/a,"$12,728.00",0,52.40%,n/a,0
38812244,"$12,000","$12,000",11.44%,1.00%,"January 22, 2015","February 2, 2018","February 2, 2020",$0,MORTGAGE,"$5,667 / month",27.59%,10+ years ,932xx,N/a,N/a,N/a,Teacher,N/a,685-689,0,12/1996,$0.00,13,0,31,48,"$42,416.00",0,86.40%,n/a,0
38812534,"$21,800","$21,800",15.59%,1.00%,"January 22, 2015","January 23, 2018","January 23, 2020",$0,MORTGAGE,"$4,333 / month",16.43%,4 years ,190xx,N/a,N/a,N/a,SALES MANAGER,N/a,705-709,0,09/1995,$0.00,6,2,17,2,"$1,588.00",0,27.40%,n/a,0
38812573,"$11,100","$11,100",25.80%,1.00%,"January 23, 2015","January 26, 2020","January 26, 2020",$0,RENT,"$2,583 / month",16.42%,10+ years ,554xx,N/a,N/a,N/a,Owner/ Photographer,N/a,670-674,0,10/1997,$0.00,10,0,27,36,"$4,682.00",0,35.50%,n/a,0
38812596,"$30,000","$30,000",11.44%,1.00%,"January 23, 2015","February 1, 2020","February 1, 2020",$0,MORTGAGE,"$8,917 / month",23.05%,2 years ,600xx,N/a,N/a,N/a,Corporate Accounting Manager,N/a,685-689,0,10/1978,$0.00,26,0,59,n/a,"$59,788.00",0,35.70%,n/a,3
38822422,"$17,000","$17,000",12.99%,1.00%,"January 22, 2015","January 28, 2018","January 28, 2020",$0,MORTGAGE,"$5,417 / month",13.57%,4 years ,761xx,N/a,N/a,N/a,General manager,N/a,665-669,0,06/2000,$0.00,9,0,10,28,"$25,564.00",0,68.90%,n/a,0
38822515,"$24,475","$24,475",18.54%,1.00%,"January 22, 2015","January 22, 2018","January 22, 2020",$0,RENT,"$8,000 / month",6.65%,7 years ,925xx,N/a,N/a,N/a,CEO Broker ,N/a,675-679,0,08/1999,$0.00,10,0,15,62,"$7,749.00",0,47.80%,n/a,3
38832183,"$10,000","$10,000",14.31%,1.00%,"January 22, 2015","January 21, 2018","January 21, 2020",$0,RENT,"$2,000 / month",11.20%,2 years ,115xx,N/a,N/a,N/a,personal assistant,N/a,675-679,0,10/2008,$0.00,6,0,6,n/a,"$10,674.00",0,66.30%,n/a,1
38832202,"$35,000","$35,000",25.80%,1.00%,"January 21, 2015","January 29, 2020","January 29, 2020",$0,OWN,"$14,375 / month",13.47%,2 years ,068xx,N/a,N/a,N/a,Senior Mgr,N/a,685-689,0,06/1992,$0.00,8,2,21,2,"$147,789.00",1,79.90%,28,0
38832333,"$17,600","$17,600",10.49%,1.00%,"January 21, 2015","January 21, 2018","January 21, 2020",$0,MORTGAGE,"$8,038 / month",18.03%,10+ years ,751xx,N/a,N/a,N/a,Information Technology Specialist,N/a,660-664,0,07/1988,$0.00,9,7,42,12,"$12,149.00",0,87.40%,n/a,1
