Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"February 6, 2015",40372974,"$10,150",7.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$3,917 / month",19.61%,n/a,410xx,N/a,N/a,N/a,n/a,N/a,745-749,0,07/1977,$0.00,8,0,18,n/a,"$14,155.00",0,50.70%,n/a,0,n/a
"February 6, 2015",40373256,"$19,200",7.49%,1.00%,Three years after issuance,Five years after issuance,OWN,"$6,250 / month",14.32%,10+ years ,925xx,N/a,N/a,N/a,forman,N/a,740-744,0,12/2005,$0.00,10,0,25,38,"$4,650.00",0,21.00%,n/a,1,n/a
"February 6, 2015",40373260,"$28,000",6.03%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$6,667 / month",21.31%,3 years ,275xx,N/a,N/a,N/a,Sales Manager,N/a,775-779,0,05/1991,$0.00,21,0,44,56,"$99,187.00",0,17.90%,n/a,1,n/a
"February 6, 2015",40373261,"$7,500",6.49%,1.00%,Three years after issuance,Five years after issuance,RENT,"$2,917 / month",27.02%,2 years ,430xx,N/a,N/a,N/a,Hr servicerepresentative,N/a,685-689,0,05/2006,$0.00,35,0,65,n/a,"$14,632.00",0,35.30%,n/a,1,n/a
"February 6, 2015",40373378,"$11,000",7.89%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$2,833 / month",9.99%,4 years ,660xx,N/a,N/a,N/a,Incident Report Lead,N/a,665-669,0,03/2003,$0.00,7,0,16,68,$257.00,0,8.60%,n/a,1,68
"February 6, 2015",40373499,"$8,500",8.19%,1.00%,Three years after issuance,Five years after issuance,RENT,"$3,833 / month",11.56%,3 years ,303xx,N/a,N/a,N/a,Digital Marketing Associate,N/a,740-744,0,08/2005,$0.00,10,0,13,n/a,"$8,557.00",0,34.00%,n/a,1,n/a
"February 6, 2015",40373821,"$24,000",6.49%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$7,167 / month",17.58%,10+ years ,435xx,N/a,N/a,N/a,Pres. ,N/a,730-734,0,04/2001,$0.00,16,0,32,n/a,"$44,366.00",0,48.60%,n/a,0,n/a
"February 6, 2015",40373911,"$13,000",6.39%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$6,667 / month",10.89%,6 years ,284xx,N/a,N/a,N/a,Regional Sales Manager,N/a,735-739,0,06/1993,$0.00,10,0,31,n/a,"$8,728.00",0,20.70%,n/a,0,n/a
"February 6, 2015",40373931,"$12,000",8.19%,1.00%,Three years after issuance,Five years after issuance,RENT,"$3,417 / month",8.17%,6 years ,751xx,N/a,N/a,N/a,Teacher,N/a,670-674,0,01/2004,$0.00,8,0,15,72,"$15,118.00",0,54.60%,n/a,0,72
"February 6, 2015",40374140,"$10,800",7.49%,1.00%,Three years after issuance,Five years after issuance,RENT,"$4,167 / month",15.42%,7 years ,303xx,N/a,N/a,N/a,Real Estate Advisor,N/a,680-684,0,09/2004,$0.00,4,0,11,n/a,"$9,308.00",2,50.00%,35,0,n/a
"February 6, 2015",40374205,"$10,000",9.17%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$6,750 / month",18.81%,10+ years ,321xx,N/a,N/a,N/a,controller,N/a,660-664,0,11/1992,$0.00,12,1,30,9,"$10,928.00",0,47.30%,n/a,0,59
"February 6, 2015",40374211,"$6,000",6.03%,1.00%,Three years after issuance,Five years after issuance,RENT,"$3,667 / month",22.12%,n/a,539xx,N/a,N/a,N/a,n/a,N/a,750-754,0,12/1985,$0.00,7,0,28,47,"$6,231.00",0,21.60%,n/a,0,n/a
"February 6, 2015",40374326,"$15,000",8.19%,1.00%,Three years after issuance,Five years after issuance,OWN,"$5,000 / month",19.70%,5 years ,640xx,N/a,N/a,N/a,owner/operator,N/a,675-679,0,02/1999,$0.00,6,0,30,32,"$9,124.00",2,62.50%,52,1,n/a
"February 6, 2015",40374364,"$4,800",8.19%,1.00%,Three years after issuance,Five years after issuance,RENT,"$5,000 / month",21.86%,2 years ,600xx,N/a,N/a,N/a,project manager,N/a,670-674,0,05/2004,$0.00,20,0,51,n/a,"$18,359.00",0,86.60%,n/a,0,n/a
"February 6, 2015",40374387,"$12,000",16.49%,1.00%,Five years after issuance,Five years after issuance,RENT,"$3,000 / month",30.47%,3 years ,782xx,N/a,N/a,N/a,ocs,N/a,660-664,0,10/2009,$0.00,6,0,9,28,"$6,937.00",0,73.00%,n/a,0,n/a
