Date,Series of Member Payment Dependent Notes,Maximum aggregate principal amount offered,Stated interest rate,Service Charge,Initial maturity,Final maturity,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months,Months Since Last Major Derogatory
"January 7, 2015",38589282,"$23,350",15.59%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$8,623 / month",10.04%,10+ years ,460xx,N/a,N/a,N/a,Accountant,N/a,695-699,0,07/1990,$0.00,14,0,30,43,"$14,416.00",1,49.50%,75,1,47
"January 7, 2015",38589878,"$5,000",8.67%,1.00%,Three years after issuance,Five years after issuance,RENT,"$4,167 / month",3.17%,6 years ,441xx,N/a,N/a,N/a,Auto Sales,N/a,665-669,0,02/1995,$0.00,7,0,12,61,"$2,068.00",0,18.50%,n/a,0,61
"January 7, 2015",38589992,"$9,000",13.66%,1.00%,Three years after issuance,Five years after issuance,RENT,"$3,333 / month",20.25%,10+ years ,481xx,N/a,N/a,N/a,facility maintenance 2,N/a,700-704,0,08/1982,$0.00,12,0,29,39,"$9,971.00",0,38.10%,n/a,1,39
"January 7, 2015",38590012,"$6,000",12.39%,1.00%,Three years after issuance,Five years after issuance,RENT,"$2,083 / month",15.36%,< 1 year ,908xx,N/a,N/a,N/a,Temp,N/a,665-669,0,05/2001,$0.00,4,0,6,38,"$5,071.00",0,85.90%,n/a,0,n/a
"January 7, 2015",38590014,"$25,000",15.99%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$6,667 / month",25.71%,3 years ,060xx,N/a,N/a,N/a,Financial Analyst,N/a,660-664,0,04/1998,$0.00,14,3,29,11,"$37,546.00",0,72.90%,n/a,1,n/a
"January 7, 2015",38590020,"$30,000",9.49%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$7,917 / month",13.76%,n/a,117xx,N/a,N/a,N/a,n/a,N/a,770-774,0,05/1976,$0.00,24,0,50,n/a,"$43,323.00",0,24.20%,n/a,0,n/a
"January 7, 2015",38590029,"$2,000",14.99%,1.00%,Three years after issuance,Five years after issuance,RENT,"$6,167 / month",12.26%,5 years ,554xx,N/a,N/a,N/a,Payroll Supervisor,N/a,670-674,0,11/1996,$0.00,12,1,30,13,"$3,810.00",1,56.70%,69,0,70
"January 7, 2015",38590030,"$12,000",8.67%,1.00%,Three years after issuance,Five years after issuance,RENT,"$6,000 / month",9.18%,1 year ,104xx,N/a,N/a,N/a,LAB MANAGER,N/a,735-739,0,01/2005,$0.00,10,0,13,n/a,"$4,789.00",0,23.00%,n/a,0,n/a
"January 7, 2015",38596074,"$4,000",14.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$2,400 / month",16.83%,10+ years ,378xx,N/a,N/a,N/a,Administrative Assistant,N/a,665-669,0,06/1998,$0.00,10,0,30,n/a,"$4,598.00",1,53.50%,67,1,n/a
"January 7, 2015",38597811,"$9,600",12.99%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$4,167 / month",19.49%,9 years ,554xx,N/a,N/a,N/a,Human Resources Technician 1,N/a,670-674,0,02/1994,$0.00,9,0,17,61,"$8,573.00",0,60.00%,n/a,0,61
"January 7, 2015",38598788,"$19,850",14.99%,1.00%,Five years after issuance,Five years after issuance,MORTGAGE,"$4,583 / month",23.97%,7 years ,167xx,N/a,N/a,N/a,Network Admin,N/a,710-714,0,12/2001,$0.00,9,0,28,n/a,"$16,948.00",0,61.90%,n/a,0,n/a
"January 7, 2015",38599682,"$20,000",14.31%,1.00%,Three years after issuance,Five years after issuance,MORTGAGE,"$6,250 / month",28.50%,10+ years ,280xx,N/a,N/a,N/a,Compliance Manager,N/a,680-684,0,09/1983,$0.00,15,1,35,23,"$9,606.00",0,63.60%,n/a,1,n/a
