Series of Member Payment Dependent Notes,Maximum aggregate principal amount of Notes offered,Aggregate principal amount of Notes sold,Stated interest rate,Service Charge,Sale and Original Issue Date,Initial maturity,Final maturity,Amount of corresponding loan funded by Lending Club,Home ownership,Gross income,Debt-to-income ratio,Length of employment,Location,Home town,Current & past employers,Current employer,Job title,Education,Credit Score Range,Accounts Now Delinquent,Earliest Credit Line,Delinquent Amount,Open Credit Lines,Delinquencies (Last 2 years),Total Credit Lines,Months Since Last Delinquency,Revolving Credit Balance,Public Records on File,Revolving Line Utilization,Months Since Last Record,Inquiries in the Last 6 Months
443827,"$11,000","$11,000",12.18%,1.00%,"September 28, 2009","October 1, 2012","October 1, 2013",$0,RENT,"$10,000 / month",9.38%, 11 years 9 months,"Oklahoma City, OK",__,__,__,N/a,__,679-713,0,05/1978,$0.00,8,0,26,67,"$9,772.00",0,41.80%,n/a,1
443918,"$6,000","$6,000",8.94%,1.00%,"September 25, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$5,000 / month",1.16%,28 years ,"Nottingham, MD",__,__,__,N/a,__,714-749,0,03/1995,$0.00,8,0,22,n/a,"$2,731.00",1,9.20%,100,0
443926,"$4,500","$4,500",12.87%,1.00%,"September 23, 2009","October 2, 2012","October 2, 2013",$0,n/a,"$11,667 / month",18.99%, 8 years 11 months,"ALAMO, GA",__,__,__,N/a,__,679-713,0,11/1998,$0.00,11,4,38,13,$778.00,0,33.80%,n/a,0
443938,"$17,500","$17,500",11.48%,1.00%,"September 25, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$5,500 / month",11.71%, 4 years 9 months,"MIDLAND, MI",__,__,__,N/a,__,714-749,0,05/1999,$0.00,9,0,23,n/a,"$18,277.00",0,50.80%,n/a,1
443983,"$4,750","$4,750",13.57%,1.00%,"September 24, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$2,083 / month",5.09%, 4 months,"Bellevue, WA",__,__,__,N/a,__,780+,0,07/1996,$0.00,7,0,20,n/a,"$44,834.00",0,0.00%,n/a,0
443991,"$8,200","$8,200",17.04%,1.00%,"September 25, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$6,000 / month",15.87%, 4 years 2 months,"Vernal, UT",__,__,__,N/a,__,679-713,0,03/1986,$0.00,10,0,27,n/a,"$13,641.00",1,98.80%,89,2
444013,"$17,000","$17,000",11.48%,1.00%,"September 25, 2009","October 2, 2012","October 2, 2013",$0,RENT,"$8,000 / month",23.18%,18 years ,"FREMONT, CA",__,__,__,N/a,__,714-749,0,04/1995,$0.00,13,0,24,n/a,"$11,265.00",0,24.30%,n/a,0
444021,"$8,000","$8,000",13.92%,1.00%,"September 28, 2009","October 2, 2012","October 2, 2013",$0,RENT,"$6,167 / month",4.20%, 2 years 10 months,"Streetsboro, OH",__,__,__,N/a,__,660-678,0,01/1995,$0.00,12,0,30,n/a,"$9,172.00",1,66.00%,86,1
444077,"$6,000","$6,000",11.14%,1.00%,"September 24, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$11,692 / month",17.30%, 6 years 3 months,"Tonawanda, NY",__,__,__,N/a,__,714-749,0,06/1995,$0.00,15,0,55,n/a,"$61,431.00",0,74.10%,n/a,2
444085,"$2,000","$2,000",15.31%,1.00%,"September 23, 2009","October 2, 2012","October 2, 2013",$0,MORTGAGE,"$6,000 / month",21.20%, 14 years 5 months,"Salina, KS",__,__,__,N/a,__,660-678,0,10/1997,$0.00,8,0,20,55,"$12,236.00",0,91.30%,n/a,5
